Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Богородское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2017;3377;3620;4268;4417;4741;5139;5472;5055;4798;4519;4148;4455;54009
Буревестник;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2017;135482;127228;140786;157726;174494;198995;235165;251455;219951;198155;162642;169886;2171965
Владикавказ(Беслан);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2017;65836;60194;67915;74438;92567;94395;104389;104871;100276;90939;80086;77917;1013823
Вологда;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2017;1481;1352;1443;2138;2524;2642;2907;3291;2590;2115;1935;1932;26350
Воронеж(Чертовицкое);2017;30890;31803;36033;38764;51857;64456;71206;72893;65769;51027;45093;46655;606446
Вуктыл;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2017;312531;286851;324240;350494;437985;537927;614330;607077;556927;456210;393178;399684;5277434
Екатеринбург(Уктус);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
